address,amount
juno12edhllqg62wnkjvquzq5z48hpkk8zdkxl8lsjy,5484985
juno12eeghmkxrpkulh7myy3l2kc2t32rd0p832h35w,8075782
juno12egzjgc64fs3lplv98ydz0344r47ylv2ul6ey0,6908438
juno12ehzhd8vhddpfwtqu0770ka4ef70pnvpprrpw3,7887664
juno12erpl7m7ka495am5guzsld9grhvpgphpsgedhs,6384467
juno12eud5jpg6d9serg92drylr4mzagqv53x3q32xh,4755210
juno12exmmu65tpupls4hug5mc4un393dzcrj2s2sc3,7277710
juno12f333h9jd34gltwmrwdlnf8jay7gtcwqwp3zcc,7047504
juno12f6wajpde5n43enqs76xny8ckc5vvnwagn9zpw,4864471
juno12fag9l58tk6z7tlkmy0v6n4n4lmvgxevawjglv,6105903
juno12fagylmwcsnfcrzv4rm4sksk5rt9lah64900sm,20999262
juno12fdc2fjca36sqx3ng7w9cr0keu3quha5uw7568,5432997
juno12fgg0mcvcxhemumzzw77cxxfqhewv8fjdcanc8,4915776
juno12fl64v27w9z03fmzu9agvnvr5rxgyenfwqd86l,7600736
juno12fmcjn8lq9x69wf48lw3nu7am6nzzehu6ysyrc,11411639
juno12fxs5fdrwzqhca0vq46ea9gvu8g0snkasfez9h,6525182
juno12fy33rwu2m4yacr9cys07d4nfnzuxd6a52m7cq,4795114
juno12g8caymr4c52ytaqre253zd42h8e42493l6pk3,9595929
juno12g93u8a9xvvaf269p4d5dagg0dq9tdf2wfshgj,6346738
