Address,dragon_count,Balance
juno14q9se7m8c534vjmrv8lmysyejnpls5uvv9fa9k,2,3008
juno1d5nr5h2t49zn3wld0td9zv5ey2nvryytne3xuj,2,4820
juno1g55d0tceqmlfpft6s0xgpeegetnse6svqslwwc,5,2668
juno1vhaahp7pywgf35wdmjxd2krlgcd0cesp7tmkld,4,4136
juno1hd5rp9pmwg7q5mwndk4c8qfw7d398dlwq5m6em,5,4780
juno1ga8nv7ng4955t2y4anxwrhp7rkmj42l66h9xxd,13,6699
juno1hdusu20ltnm5086vjjnftk62cvnlmuvq206yah,3,2868
juno1z6z62dcd4rsdwl8e7xe5k8qyrgmgjc98swcs6d,2,2591
juno17fgmg7elk2qg6h9cfs4ju03fsjqkpkl2uw0fa0,4,4779
juno1kyjzqlptc65kzq2krrkrg4khzdf8t28mkcxd6h,1,2420
juno1nqx6avjjr54p9nqdggtywwmtmfv6wah70rj8uz,7,7514
juno1lvz2p9r8dpzehgc50am4cc6n5vw8ses509n2ke,3,6215
juno1www7v5m0n5hxd3avzun8hrnywwv5xtkkex7gln,1,2333
juno1kgqqms0evjkfv04lga2krm7r0q7lwg3thnlul6,2,2770
juno1erpyczl9sl4653djjlcj45a2pweqn579e9f873,1,2271
juno135egrsd3f5mrn44u34ds30ssvkqpgfeamsh7lk,1,2192
juno1wsc0z9lsdrh0xgs9sxtsy4hjrdhl8e3pg85j5d,7,2396
juno1n5xc55drrkpyhadr8khjyhzpfcs99xygz9pehr,1,2176
juno1lceeltsfskth3803vhtjw49ady7fc5jautwx6t,6,3056
juno15dz5339a8827qxm9x0x65w04a0lr5nc3e0pjdf,1,2160
juno1x9w0ncm0kqp3skwcx23fwdsz8e8q5zxlk0858a,1,2145
juno169m05prms97mnssn3crwdhy9x86wndt55lklhm,15,8377
juno1k559m4805mwr3zhyhyv85ufutyh2x38mwpaljh,8,3005
juno12f64zqhju0qmzynza9sy8833pv365zvr35d0qr,4,2939
juno1w2n8c3khqultp7nawvcn99gd9z5vsawfc3afhn,1,2105
juno1380fvc3828u9lqhshuuzd5xdusk0eu29vlakl9,22,7502
juno198l4n68qyqjxz46qdtt95xlzu5vmqazfkht4wv,1,2160
juno13955w224ndfq4end4a8nm4qayjk49z0hwsl22n,1,2158
juno1tzkp5sypt3h8m606dee777jy6gjvpurdak4353,3,2355
juno14zhssv28mtmtsxfw7pm06n02tctjwf29g4fyvw,13,3551
juno1l97y5t470cfagk2uyr8sfgxt9n2f9g4ypj7c6c,2,4471
juno14eq4s0cfyu3zjrcrpw6tzq8c6zdt44jnjj8hp9,1,2071
juno1qmu4ntqf0a2p666zyd8gfxgxu99lcrmer05zn9,1,2023
juno1rkvntk24dm9gn95vms9hzxtjhxnlqgmaqdwamq,2,2385
juno1fftr2vdql95w0j0n7durxy6xpvmguunwlq60l4,1,2005
juno1p6p0wwcgxj9alaj27f2ggzp7zsx307slrpv49y,8,2676
